Jongno-gu,42.8,42.2,43.5
Jung-gu,43.2,42.6,44
Yongsan-gu,41.9,41.2,42.7
Seongdong-gu,40.9,40.3,41.4
Gwangjin-gu,39.6,39,40.1
Dongdaemun-gu,41.4,40.7,42.2
Jungnang-gu,42.4,41.5,43.4
Seongbuk-gu,41.1,40.4,41.9
Gangbuk-gu,43.7,42.4,45.1
Dobong-gu,42.9,41.7,44.1
Nowon-gu,41.1,39.7,42.3
Eunpyeong-gu,41.8,40.9,42.8
Seodaemun-gu,41.4,40.6,42.2
Mapo-gu,39.3,39,39.7
Yangcheon-gu,40.8,39.9,41.6
Gangseo-gu,39.9,39.1,40.7
Guro-gu,41.2,40.7,41.8
Geumcheon-gu,43.1,42.1,44.2
Yeongdeungpo-gu,41.8,41.3,42.4
Dongjak-gu,40.1,39.2,41.2
Gwanak-gu,39.1,38.3,40.1
Seocho-gu,39.4,39,39.8
Gangnam-gu,39.2,38.6,39.8
Songpa-gu,39.7,39.2,40.3
Gangdong-gu,41.1,40,42.2
